Emplyee name,Total Attrition count
Ressie Goodwyn,0
Ressie I Goodwyn,0
Retha G Nealy,0
Rex K Dion,0
Reyes X Segal,0
Reynalda M Millwood,0
Reynaldo S Service,0
Rhett A Chapple,0
Rhett H Goode,0
Rich Cleek,0
Rich Q Rehberg,0
Rich Rehberg,0
Richard C Truman,0
Richard J Fetter,0
Richelle Haffner,0
Richie I Weisz,0
Rick E Armenta,0
Rick Y Haefner,0
Rickey I Delk,0
Rina L Chacon,0
Rob Spier,0
Robbie N Heckman,0
Robert Ancheta,0
Robert C Ancheta,0
Robert Winsor,0
Roberto A Fresquez,0
Roberto U Derry,0
Robin Z Stewart,0
Rod Catania,0
Rogelio Finnerty,0
Rogelio Ledezma,0
Rolando Womble,0
Ronnie E Swim,0
Ronnie G Gumbs,0
Ronnie H Upton,0
Ronnie Upton,0
Rosa Iler,0
Rosalva G Shepley,0
Rosanna D Standley,0
Roselia F Britton,0
Rosella E Marron,0
Rosemarie K Fellows,0
Rosetta Messerly,0
Rosette F Cascio,0
Rosina Gonsalves,0
Ross Imai,0
Rosy U Baumeister,0
Roy W Wilkie,0
Royal U Okeefe,0
Royce K Goodwyn,0
Rubin Confer,0
Rubin E Confer,0
Ruby B Hare,0
Rueben X Pidgeon,0
Rufus Neufeld,0
Russ U Belliveau,0
Russel Baumer,0
Rusty Bibby,0
Sal C Heiden,0
Salena I Santillan,0
Salvatore J Lindell,0
Sam C Limones,0
Samantha V Lucky,0
Sammy C Holtzclaw,0
Samuel Dart,0
Sanford Knee,0
Sarita P Schubert,0
Scott D Torrey,0
Scott K Ricco,0
Selma Abram,0
Sena U Delrosario,0
Serina Lingle,0
Seth N Lipsky,0
Shanelle Z Hick,0
Shannon J Force,0
Shanti F Quirion,0
Shanti P Brinegar,0
Shanti Quirion,0
Shara Millsap,0
Sharda W Choudhury,0
Sharita Y Lombardi,0
Sharlene Klein,0
Sharonda Janzen,0
Sharri Z Gormley,0
Sharyl Y Torian,0
Shasta F Bay,0
Shasta P Depuy,0
Shavon K Wescott,0
Shavonne Henkle,0
Shawanda Ostlund,0
Shayne T Claytor,0
Sheila F Bergman,0
Shemika D Porterfield,0
Sherise Bledsoe,0
Sherise C Bledsoe,0
Sherryl Raker,0
Sherwood K Shire,0
Sheryll X Broadbent,0
Shirl M Caraballo,0
Shirley H Mettler,0
Sidney D Amore,0
Silas J Wojcik,0
Silas S Pyatt,0
Silvana V Hendrix,0
Simon G Cromwell,0
Sixta H Jo,0
Sixta Jo,0
Sol Coffman,0
Sol K Roger,0
Solange Landaverde,0
Son D Ricketts,0
Sonny Najar,0
Sophia F Knecht,0
Stacey H Galante,0
Stacy B Kennell,0
Stan I Folks,0
Stan S Watt,0
Stanley Caudill,0
Stanley F Casillas,0
Stasia L Daley,0
Stefanie P Rose,0
Stephnie Millman,0
Steve S Everette,0
Steven B Daigneault,0
Stewart Mazurek,0
Stuart Fullwood,0
Suellen Eoff,0
Susan Barra,0
Susana H Hooks,0
Suzette F Lovejoy,0
Sydney Trosper,0
Sylvester Harmer,0
Sylvester M Harmer,0
Sylvester Z Blackledge,0
Tad Laster,0
Tad Portillo,0
Tad V Laster,0
Talisha F Nicklas,0
Tamera Balser,0
Tammi S Garret,0
Tammy Staples,0
Tammy Z Lorentz,0
Taneka Q Church,0
Tanner Y Hollenbeck,0
Taylor O Thill,0
Taylor Thill,0
Tayna L Covarrubias,0
Teddy Kleinschmidt,0
Tempie Peralta,0
Terra Routh,0
Terrance E Schiefelbein,0
Terrell J Leader,0
Terrell Leader,0
Theda Timothy,0
Theresa Fitzmaurice,0
Therese Q Belden,0
Thomas B Felipe,0
Thurman T Caceres,0
Tiffaney A Schoenberg,0
Tiffaney Schoenberg,0
Tim N Schueller,0
Tim U Kornegay,0
Timmy I Poteat,0
Timmy Kitchens,0
Tinisha V Vince,0
Tiny Llanos,0
Tiny Q Llanos,0
Tiny Z Oliveri,0
Titus Eide,0
Toby Riles,0
Tod Rene,0
Toi F Stallard,0
Tomas V Krout,0
Tommie S Fargo,0
Tommy I Meadows,0
Tona S Huseby,0
Toney Buffum,0
Toney O Gentle,0
Toney W Bollman,0
Tonia Silvis,0
Tonia X Silvis,0
Tonja E Lenahan,0
Tony E Keough,0
Tony Keough,0
Towanda H Matson,0
Toya B Rawlins,0
Tracey Lapinski,0
Trent J Lockman,0
Tressa Q Standard,0
Tressa Standard,0
Trey Kaiser,0
Tristan L Cockrell,0
Tristan M Brackett,0
Troy J Higbee,0
Troy Michalski,0
Tuan L Rhymes,0
Tyler D Galindo,0
Tyler Galindo,0
Tyler N Larkins,0
Tyree W Linden,0
Tyrell R Bramlett,0
Tyson High,0
Ulysses S Abate,0
Un Zebrowski,0
Ute Outen,0
Valarie O Gorecki,0
Valencia M Cuffee,0
Valene R Yost,0
Valene Yost,0
Valene Z Woodmansee,0
Valentin Escoto,0
Valentin T Dearborn,0
Valentine Gibbon,0
Van E Broadbent,0
Van T Dotson,0
Vance Kuss,0
Vasiliki E Thoman,0
Vasiliki Thoman,0
Vaughn Garica,0
Vaughn N Garica,0
Velda V Larue,0
Vern T Lomeli,0
Vernell X Amado,0
Verona H Brobst,0
Veronica I Mower,0
Vicki V Broussard,0
Vicki Y Hargrave,0
Victoria H Musson,0
Vikki N Lezama,0
Vincent N Lennon,0
Vincenzo Rentschler,0
Vinita E Chamber,0
Violet L Ertel,0
Virgil R Yuen,0
Vivienne X Binion,0
Voncile P Trojanowski,0
Vonda U Mckinnis,0
Waldo Witmer,0
Walter B Mcmorrow,0
Walter H Hargreaves,0
Walter R Seddon,0
Walton S Keim,0
Walton U Kapoor,0
Warner I Manly,0
Warren L Manion,0
Waylon Z Curtsinger,0
Wendolyn Riddle,0
Wiley U Maske,0
Wilfred Honore,0
Wilhelmina Y Keaney,0
Willia Vath,0
Williams Timko,0
Wilton Florence,0
Windy Dudek,0
Windy Pharr,0
Windy S Pharr,0
Windy Valadez,0
Wm S Goldschmidt,0
Xochitl Hogan,0
Xochitl Luse,0
Yong Ramsey,0
Young Rueb,0
Yung G Booher,0
Yvone Seay,0
Zachary Haugland,0
Zachary S Velasquez,0
Zachary U Breeden,0
Zachary Velasquez,0
Zachery Barna,0
Zack H Mumaw,0
Zackary G Parkins,0
Zana G Ordonez,0
Zenia D Owings,0
Zoila X Nair,0
